Year,Specific Energy (Wh/kg),Specific Power (W/kg),Reference,Comments ,Color,,,,,,
2000,93.7711069,334.883721,https://www.sciencedirect.com/science/article/pii/S0378775300004584,"From actual data, 18650 cells - A&T systems ",Blue,,2005,39.9735248,1881.52327,https://doi.org/10.1016/j.jpowsour.2005.03.205,From a cartoon plot
2000,110.450281,238.953488,https://www.sciencedirect.com/science/article/pii/S0378775300004584,"From actual data, 18650 cells - A&T systems ",Blue,,2005,42.4253217,1853.31453,,
2000,118.067542,124.418605,https://www.sciencedirect.com/science/article/pii/S0378775300004584,"From actual data, 18650 cells - A&T systems ",Blue,,2005,44.2060972,1822.28491,,
2000,123.320826,65.6976744,https://www.sciencedirect.com/science/article/pii/S0378775300004584,"From actual data, 18650 cells - A&T systems ",Blue,,2005,45.9843512,1779.97179,,
2000,128.574109,27.9069767,https://www.sciencedirect.com/science/article/pii/S0378775300004584,"From actual data, 18650 cells - A&T systems ",Blue,,2005,47.0947357,1748.94217,,
2015,176.37844,0.99142915,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01813,"From cartoon, Fig 1",Yellow,,2005,48.4292142,1720.73343,,
2015,176.37844,1.36326235,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01814,"From cartoon, Fig 2",Yellow,,2005,49.7611712,1681.24118,,
2015,174.464135,2.04305648,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01815,Yellow,Yellow,,2005,52.4313889,1630.46544,,
2015,174.464135,2.90771209,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01816,"From cartoon, Fig 4",Yellow,,2005,53.5392519,1588.15233,,
2015,168.844979,4.1740798,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01817,"From cartoon, Fig 5",Yellow,,2005,55.7663244,1554.30183,,
2015,165.199785,6.25549501,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01818,"From cartoon, Fig 6",Yellow,,2005,56.8741874,1511.98872,,
2015,159.879017,9.95705351,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01819,"From cartoon, Fig 7",Yellow,,2005,58.8777963,1478.13822,,
2015,153.050278,13.6914233,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01820,"From cartoon, Fig 8",Yellow,,2005,60.2066015,1424.54161,,
2015,146.513208,19.4858622,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01821,"From cartoon, Fig 9",Yellow,,2005,62.655877,1385.04937,,
2015,135.737992,30.7503786,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01822,"From cartoon, Fig 10",Yellow,,2005,65.326725,1337.0945,,
2015,131.366132,43.7644521,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01823,"From cartoon, Fig 11",Yellow,,2005,67.7722183,1280.67701,,
2015,119.077411,59.6624296,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01824,"From cartoon, Fig 12",Yellow,,2005,69.5511027,1241.18477,,
2015,112.754193,75.9230824,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01825,"From cartoon, Fig 13",Yellow,,2005,72.8847775,1159.37941,,
2015,100,106.210689,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01826,"From cartoon, Fig 14",Yellow,,2005,75.7765678,1100.14104,,
2015,87.7259262,151.160825,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01827,"From cartoon, Fig 15",Yellow,,2005,79.1159159,1043.72355,,
2015,78.6564963,189.075612,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01828,"From cartoon, Fig 16",Yellow,,2005,82.4540032,981.664316,,
2015,66.0549264,251.188643,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01829,"From cartoon, Fig 17",Yellow,,2005,84.4550906,936.530324,,
2015,53.6856011,306.183165,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01830,"From cartoon, Fig 18",Yellow,,2005,88.2407356,877.291961,,
2015,40.8671552,373.218031,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01831,"From cartoon, Fig 19",Yellow,,2005,92.4720473,812.411848,,
2015,32.1446725,421.01645,https://pubs.acs.org/doi/10.1021/acs.jpclett.5b01832,"From cartoon, Fig 20",Yellow,,2005,97.1534382,761.636107,,
